Id,Tweet,Hate,Fake
5723,abhi tak ke note me mujhe gps nano chip nahin mila,0,0
2338,abe katiye tumse kuch huaa toh jata nahi bas bakri jaise maymay karte rehte ho behan ke lodo tumhari tablighi jamaat ke karan corona faila aur bhoomi poojan mein sab ko screen aur full medical jach ke saath huaa bhosdiwalo,1,1
1579,ye sab sazish haibina saman ke koi kaise apne gher ja sakta haidekh lena inn logo ke beech bahut aise jamaat ke wo corona honge jo delhi se nikle they,1,1
6524,abe jao tum to dasko pahle hi fash gye the jab tere dada ne talwar ke nokh par salwar pahena tha tera daram kabhi hindu kabhi muslim,1,0
7618,ab ye afbah kaun faila raha hai ki shahhen bag ke biryani me population control ki dawa milli hui hai,0,0
5077,nahi sudhar sakta tu waise boycott kb se start kr rha eid pe aa rhi hindustan ka bhai ki picture jaldi kr pathaan jaisa flop karwana h jaise sarrok kaa career bachaya bhai ne tera v bacha dega j nafarti dal,1,0
5342,hindenburg ko america ke bank ki gadbadi nahi dikhi bank doob gayalekin sat samundar par adani dikh gayabzq payment adani ke liye mila thaand job to job hoti hai,1,0
1451,agar tum maan lo ki tabligi jamaat hi corona ke liye jimmedar hai to hum v maan jayenge ki trump ki wajah se hi sayad mulle jyada bimar hue,1,1
4975,inme se kahiyoun ke pati pita bhai amp behen boycott kar rahe te pathaan ko,1,0
7108,magar accident mein toh na jane kitne muslim bhi maregaye hainmasjid nahibrmandir haimatlabkuch toh galat haiduty karne wala hindu train chalane wala hindu signal dene wala hinduaur marne wala hindumuslim sabhi,0,0
6200,ha hm islam ko izzat de aur tum convert karo hme shaitan kaho chal bhag apni dukan leke jai shree ram,1,0
7782,ha bilkul,0,0
7460,bati pataubati padaukhya hamare khilari khe sath ya karna chahiya,0,0
6126,allah ki gand me suar ka land,1,0
3833,sargum i like you but but sirf ishliye issue m jump mat kijiye ki aap ussh film industry se belong karti h kyunki agar bill m itni hi burayi hoti toh sirf punjab k nhi baaki states k farmers bhi apne state m fully protest karte or khalistan,0,0
5889,bhai jo channel ke note se nano gps chip nikal de woh channel mahan hai meri taraf se topo ki salaami,0,0
1489,are suna hai apne mantri bhi to isi jamaat ke hain ab woh kya aagaie denge chaliye aaj se jo bhi corona case milega use jain jamati hi bola jayega,1,1
5072,pathaan ko boycott kiya boycottbollywood gang ne ab kya is pathaan ke bachche ko bhi boycott karenge,0,0
2836,yeh koi afwah nahin hai yah hakikat hai ki tabliki jamaat ki vajah se hi pure desh mein corona sankraman faila hai jo log ye mante hain ki ye sach nhi hai to kya unlogo ne vo vides nhi dekhe hain jis me ek mulla falo aur sabjiyo me thuk laga ra,1,1
2274,corona india me to tha hi nahi ye sab bahar jo modiji logo ko laye hai unse india me corona faila aur rahi baat tablighi jamat ki to arwind kejriwal ka latest bayan sun lo phir pata chalega corona kisne failaya,1,1
1916,iska matlab jo tablighi plasma donate kar rahe hain wo hindustani aur jo tablighi corona ke shikaar huwe aur plasma donate nahi kiya wocorona jjihadi bahot ghatiyawala breed pala hai saheb ne,1,0
4923,pathaan flop ho gaya aab jawan pe dhyan de boycott jawan,0,0
2424,jab rajya sarkar main baithi party gareeb logo ko mahanagar se bhagane ke liye sab kuch karati hai magar corona ki rok tham nahi karati to yehi haal pure desh ka hona tay hai tabliki jamaat congress aur aap jasi rajya sarkar isake gunahgaa,1,1
1515,tabligi jamaat corona failane ka hc ka judgement a gaya hai ek debate to banta hai rubika ji sidh kerdo ke aap awaam k saath ho minority k saath nhee,1,1
266,tum jaise patrakar bhi kaafi zimmedar haikyuki tumdinn pehle indian dr ko china se apne karyakram mey laaye thhe jisne bade thhok ke kaha thhabharat meymay ko corona virus khatam ho jaayegapls desh ko aise faltu experts so bachao aur t,1,0
1,lana shuru kar diya gaya thachina mein jaise corona virus phaila tha waise hi students ko laya gaya tha video b padi hai pakistani student ki indian government ko praise karte hue,0,0
1452,jamaat walon ko corona hai matlab kuch bhi unki kitni hai tum jaante bhi ho,1,1
3602,sayema jaise ghatiya log hamesha pakistan ka sath dete hai kashmir me militants ko support krte hai aur ab khulkar khalistan k support me aa gaye hai real farmer protest ko sabhi support kr rhe hai lekin esme chupe hue khalistani logo ko say,0,0
4582,yeh banda toh fake farmers protests me banana aur free wiifi baat raha tha unke liye bed and aur khana ka praband bhi kar rahe the tab nahi socha covid ke liye kuch karne ko,1,1
6569,aadmi ki acting achi hai,0,0
2752,jamaat bhi registered hai bhai crores ki sampati aur registered bhi nahin videshi aatain hai corona phailata hain aur aap shor machate hain police aur medical ko pitate hain woh bhi jayaz hai kyonki hum sickular hain aur hamare liberal aapke l,1,1
839,desh ka satyanash to tablighi jamat kar rahihecorona faila ke,1,1
15,badle me god ne corona virus ese he thodi diya tha bhai china me,0,0
3911,hindusunderattack in bangladesh,0,1
2284,corona se zyada zeher to aap me bhara he sabhi doctors ne checkup ke bad bataya ke tablighi me se kisi ko corona positive nahi he lekin aap jese logo ke ghar me khana nahi banega agar apne ye zeher nahi phelaya to theek kaha na,1,1
6920,jisladkikebapbhaimadeeniislamkopadhanahiaurbetikocollageuparsemobilehathmaiwoladkihamjaiselafkodostitodurbattaknahikartitowahihinduladkiyansabkuchhkarnekotaiyarhotihaidosthobasaakhiratmaimuhdikhanahai,1,0
1859,bilkul unke wajah se case bht teji se upar aaye hi pr to hi nhi ky corona india me tablighi jamaat wale laye the wo laparwahi unse hui hi o galat h,1,1
9,donald jtrump desh bhakti ka jajba jitna aap ke ander ha utna kisi anya opposition political me nahe ha jinone corona virus ko seedha china virus bolker use dunea me virus felane ka jimmedar thera deya mrjoe sab jante hue ak word bhe china ke khelafat me nahe bole,0,1
4499,caa kya wapas huashaheen bagh pai dharna kerke kuch ukhad payefake farmers protest karke kya so called kale kanoon wapas hueabhi aur andolans andolanjivis ko kerne padengenpr aur nrc bhi hogauccpopulation control actabhi aur burnols ki,1,1
5039,isko sab tag karo jyada ho rahi thi pathaan ke waqt dekhle south industry bhi hinduism ko galat way mai dikhati hai phir usko boycott kyun nahi karte,1,0
6399,nai tumko bhagwa trap me nai fasaenge kyuki tumko tumhara shohar aur uska bhai uska abbu k sath ilu ilu krne me jo maja aata hai wo sanatan me nai hota hai aur hum sanatani second hand chiz use nai krte brjai shree ram,1,0
1040,tablighi jamat bina corona kahan aur arvind kejriwal bina tablighi jamat kahan ek mudra ke do sikke,1,1
6218,isis propaganda,0,0
6936,assalamu alaikum wa rahmatullah wa baraktuh first comment,0,0
5956,chambal ke daku ban ke ghum rhe h ghar me mamu bhai sab tunhare leta hoga molvi halala kr dega muje hub h ye bus,1,0
5625,haan aap jaise log kaise gumrah ho sakte ho k note par nano gps chip hogi bolke sarkar k talwe chatkar janatako gumrah karne waale ko support karne waale gumrah ho hi nahi sakti kyonki woh log pehle se hi gumrah ho chuki h,1,0
7398,shame shame kya ye mera india hai shame,0,0
340,mujhe toh sapne aate hai ki corona virus ki vaccine agar bann gaya toh uske baad china ka kya haal hoga,0,0
122,kya kiya saalo me petrol diesel k daam badhaye are jao china se gand fatti h aapke modi ki aur khudko inchi kehte h corona virus india me modiji ki wajah se aaya aur pehla pmcares fund jai,1,1
2754,agar padhna aata ho to padh kar samaj jayega cases ye kis asharam se nikli hai aur dekhte jao abhi aage sab tablighi to hospital mey hai fir kaun faila raha hai cor,1,1
5858,k note me nano gps chip wale hi aisa news bata sakte hai aur dalali karr sakte hai,0,0
1091,pehle tabliki jamaat ki jimmewari thi ab punjab ki hogi lakh log corona positivebas enhi reasons se hue hain,1,1
3981,jinka ghar chootta hai sirf aur sirf wohi is takleef se waaqif hain baaki sab kuch bhi kahein us khaalipan ko mehsoos hi nahi kar sakte hindulivesmatter hindus hindusunderattack kashmiripandits kashmiri kashmir kashmiripanditemployees,0,0
1373,corona ko dharm se nahi bandha mam dharm ke thekedaro tablighi ne kitno ko marne per majboor kiya corona ko desh me lake oh batarahehe rajat jiiii,1,1
6019,mullo ki maa bhosda,1,0
1318,tumhara bail kabtak hai tihar kab ja rahe ho tum bhi to tablighi ki tatah corona faila rahe ho,1,1
623,corona thodi fela rahe woh tablighi nai hai ye,0,0
1420,sahi kaha abp kutte log tum jamaat ko itna banam karte ho jese unhone bomb bana diya corona ka jakar chaina walo ko pakro himmat ho to,1,1
4029,nam ginado apne logo ke jinka naam desh ko azad dialne me hai main apne logo ka gina dunga sayad app gin na paoge aur jo desh mein rahakar bam fodate unka bhi naam bata dena kasmir se like kanyakumari tak hindusunderattack hindu hindustan,0,0
7911,isko ko bihar police ko goli mar k k gattar mei fake dena chiye jaha dekho shaktiman bankar firta rehta tha ye dekho wo dekho m,1,1
2664,prashasan muslim ko hi badnaam kar raha hai aaj nausena bsf cisf sadhu santo ke bich corona nikal raha ye kaunse tablighi jamat ke sampark wale log hai fir kyu muslim ko badnaam kar raha dhanbad prashasan apki sarkar kaam thik kar rahi hai bas dukh itna hai bjp wala setup,1,1
6999,muslim community ka yahi kaam h,1,1
3106,rahi baat jamaat ki to govt ne bola tha kya corona hone ke baad ja kr madrso me aur mohallo ke wo v padhe likhe logo ke sath chupne kijahil ktna smjhaya ki bharat ke log ache hai glti maan kr samne aa kr ilaaj karate to koi crit,0,0
